round,test_acc,test_loss
1,29.52,1.5875338315963745
2,31.96,1.5689726531505586
3,32.96,1.548107135295868
4,35.32,1.5237913489341737
5,38.52,1.4959951758384704
6,42.48,1.4631287634372712
7,43.92,1.4174964010715485
8,44.12,1.3627114772796631
9,44.96,1.3053891897201537
10,47.36,1.2422507405281067
11,51.04,1.1908085525035859
12,52.36,1.1387749075889588
13,53.4,1.0821895122528076
14,56.64,1.0380663126707077
15,61.2,0.9974791169166565
16,61.32,0.9749885976314545
17,62.0,0.9393737107515335
18,61.56,0.9189811408519745
19,62.08,0.8972026944160462
20,62.32,0.8832968294620513
21,63.16,0.8664245188236237
22,64.4,0.8564032882452011
23,65.04,0.853852990269661
24,64.52,0.8412935227155686
25,64.72,0.8350104659795761
26,64.44,0.8436341226100922
27,64.72,0.8247256487607956
28,64.68,0.8184375375509262
29,66.08,0.8124537527561188
30,66.4,0.8136392652988433
31,66.36,0.7946398198604584
32,66.72,0.7891056895256042
33,67.04,0.7846265703439712
34,66.92,0.7790360033512116
35,67.64,0.7785817146301269
36,67.48,0.7682239979505538
37,67.36,0.7621414482593536
38,67.76,0.7655343890190125
39,66.8,0.7621552914381027
40,67.52,0.7613141745328903
41,67.32,0.7469582468271255
42,67.8,0.7407510340213775
43,67.84,0.7322559744119644
44,67.92,0.7252425402402878
45,67.76,0.7222585588693619
46,66.72,0.7831126064062118
47,56.92,0.9520968616008758
48,42.52,1.3472590386867522
49,26.2,2.4172489941120148
50,30.8,1.9613636910915375
51,55.32,1.1495618879795075
52,39.84,1.246685540676117
53,26.32,1.4154172599315644
54,24.28,1.3381449162960053
55,45.64,1.1531253516674043
56,51.24,1.0907947599887848
57,42.0,1.1107000410556793
58,38.6,1.1443046092987061
59,37.72,1.158772772550583
60,38.4,1.1364761292934418
61,42.12,1.0723369508981704
62,53.56,0.9986313581466675
63,59.4,0.9684670716524124
64,56.08,0.9874262869358063
65,54.72,0.9866350591182709
66,58.6,0.9345613121986389
67,61.16,0.8899050772190094
68,59.28,0.8918047159910202
69,56.68,0.901493638753891
70,57.92,0.8794298738241195
71,62.04,0.8416738778352737
72,63.92,0.8324083030223847
73,61.92,0.84997538626194
74,62.44,0.8434893846511841
75,64.12,0.814458242058754
76,63.4,0.812271898984909
77,61.88,0.8272405236959457
78,62.04,0.8221295446157455
79,64.2,0.7997992813587189
80,64.68,0.7981464236974716
81,64.56,0.8099808424711228
82,64.96,0.7961938560009003
83,65.96,0.78064746260643
84,64.2,0.7882680267095565
85,64.16,0.7893368035554886
86,65.04,0.7775529503822327
87,65.92,0.7767365992069244
88,65.44,0.7820878773927689
89,66.0,0.7726305544376373
90,66.12,0.7654832452535629
91,65.76,0.7680301159620285
92,66.0,0.7655914813280106
93,66.84,0.7586418867111206
94,66.28,0.7585659742355346
95,66.04,0.7631137609481812
96,66.32,0.7577909827232361
97,66.68,0.7524890393018723
98,65.96,0.7527111589908599
99,66.2,0.7509759426116943
100,66.84,0.7451392143964768
101,66.8,0.74651238322258
102,66.8,0.7455249309539795
103,66.96,0.7385318964719773
104,67.52,0.7352509766817092
105,67.12,0.7336177974939346
106,67.04,0.7325277298688888
107,67.0,0.7342014878988266
108,67.0,0.7326561868190765
109,67.52,0.7258854866027832
110,68.08,0.7212479382753372
111,68.32,0.7192550122737884
112,68.64,0.7163563519716263
113,68.04,0.7181820899248124
114,67.8,0.7207340925931931
115,67.64,0.7187246382236481
116,67.6,0.7143847495317459
117,68.08,0.7094614535570145
118,68.76,0.7055043935775757
119,69.28,0.7047955960035324
120,69.08,0.7038109481334687
121,68.88,0.7038043409585952
122,68.8,0.7034427911043167
123,68.72,0.6998523801565171
124,68.8,0.7000624775886536
125,69.0,0.6997046202421189
126,68.8,0.6950189769268036
127,69.52,0.6932861655950546
128,69.92,0.6888628304004669
129,69.76,0.6881986558437347
130,69.68,0.6878699660301208
131,69.88,0.6843440890312195
132,69.8,0.6853678494691848
133,69.32,0.6836523205041886
134,70.24,0.6805604875087738
135,70.04,0.6786756187677383
136,70.36,0.6738439977169037
137,71.24,0.6735708028078079
138,70.68,0.6740590631961823
139,70.56,0.6742995619773865
140,70.56,0.6767146319150925
141,70.96,0.6678351253271103
142,70.96,0.6636096507310867
143,71.48,0.6620788902044297
144,71.24,0.6650381863117218
145,71.16,0.6650228768587112
146,71.68,0.6579900205135345
147,71.68,0.655869972705841
148,71.6,0.6533301860094071
149,71.56,0.6562211483716964
150,71.68,0.6565745741128921
151,72.04,0.657194846868515
152,71.96,0.6520906001329422
153,72.28,0.6497925281524658
154,71.96,0.6490017771720886
155,72.24,0.6460281357169151
156,72.24,0.64879360049963
157,72.48,0.6453077688813209
158,72.2,0.6442312210798263
159,72.52,0.6424802660942077
160,72.8,0.6414689943194389
