round,test_acc,test_loss
1,30.04,1.5833310961723328
2,28.92,1.5619059324264526
3,27.08,1.5384603261947631
4,32.96,1.5100004196166992
5,42.32,1.4774739921092988
6,46.2,1.4291847586631774
7,47.52,1.3676204323768615
8,48.28,1.3023700654506682
9,51.72,1.2297257006168365
10,53.32,1.1697883605957031
11,56.6,1.1093144237995147
12,59.0,1.0527849167585372
13,60.4,1.0040826350450516
14,59.84,0.9701476693153381
15,61.36,0.9339875817298889
16,60.64,0.913376048207283
17,61.92,0.8864676535129548
18,62.96,0.877128180861473
19,62.04,0.8720478236675262
20,63.52,0.8608764499425888
21,63.96,0.8421998053789139
22,62.64,0.8473009049892426
23,62.6,0.8701621413230896
24,62.8,0.8426206618547439
25,65.24,0.8214135497808457
26,65.52,0.8068255424499512
27,64.6,0.809059077501297
28,64.52,0.8171629548072815
29,64.8,0.80296531021595
30,66.48,0.7819778919219971
31,66.76,0.7791053891181946
32,65.4,0.7893177807331085
33,66.92,0.7785135447978974
34,67.92,0.7568191915750504
35,66.28,0.769373995065689
36,66.24,0.7885801434516907
37,65.68,0.7756294906139374
38,67.96,0.745390248298645
39,68.16,0.7307386517524719
40,66.48,0.7469854891300202
41,67.16,0.7590937823057174
42,66.32,0.7507408112287521
43,68.48,0.7353257179260254
44,68.6,0.7036677211523056
45,68.64,0.7008587181568146
46,68.32,0.7175560027360917
47,67.56,0.7192221045494079
48,68.64,0.7116801530122757
49,68.32,0.7003440022468567
50,69.72,0.6785191148519516
51,69.16,0.7015689939260483
52,65.56,0.7643795758485794
53,67.04,0.7736891865730285
54,64.44,0.7835226058959961
55,69.8,0.6954996407032012
56,70.4,0.672414168715477
57,69.32,0.6906106561422348
58,70.0,0.6796472340822219
59,69.84,0.6644329696893692
60,69.72,0.6705024123191834
61,71.32,0.6596768915653228
62,72.24,0.6493989884853363
63,71.92,0.6496788144111634
64,70.6,0.6696326643228531
65,67.84,0.7193366557359695
66,69.6,0.7233813583850861
67,66.52,0.7671221226453782
68,65.64,0.7764110684394836
69,65.64,0.799907261133194
70,70.72,0.6748925298452377
71,70.96,0.6748528361320496
72,66.68,0.7571556389331817
73,71.68,0.6511135131120682
74,69.0,0.721582007408142
75,69.16,0.7084908276796341
76,71.0,0.6705532371997833
77,68.56,0.7155981183052063
78,72.84,0.6344341039657593
79,69.84,0.690034705400467
80,73.12,0.6318813979625701
81,71.6,0.6570353657007217
82,71.12,0.6687675178050995
83,72.36,0.6376245230436325
84,72.04,0.6559094905853271
85,72.6,0.6421348005533218
86,73.2,0.632139328122139
87,72.72,0.6430982410907745
88,73.16,0.6297835916280746
89,74.0,0.6191860377788544
90,72.96,0.6376278877258301
91,73.32,0.6357274979352951
92,74.04,0.6093374475836754
93,73.04,0.6365195482969284
94,72.36,0.662445330619812
95,73.44,0.6268616497516633
96,74.36,0.604114581644535
97,74.16,0.6230524957180024
98,73.6,0.6170417204499244
99,73.8,0.6362746328115463
100,69.6,0.7128689259290695
101,65.12,0.9055639833211899
102,43.12,1.6701587975025176
103,26.76,3.463998532295227
104,31.84,2.274358630180359
105,38.76,1.6088134050369263
106,36.2,1.2652962446212768
107,38.28,1.2859752595424652
108,37.48,1.3753998398780822
109,36.36,1.3266813635826111
110,42.44,1.2540361702442169
111,48.0,1.2470409095287323
112,50.32,1.2374922454357147
113,58.2,1.1892491042613984
114,57.88,1.1152774453163148
115,56.56,1.0479727923870086
116,54.0,1.0007916897535325
117,54.4,0.9668098866939545
118,56.44,0.9439544796943664
119,51.64,0.9286518424749375
120,55.16,0.904848262667656
121,55.32,0.8728689819574356
122,62.56,0.8480349689722061
123,62.88,0.8375116139650345
124,60.84,0.8333223581314086
125,61.56,0.8169542551040649
126,64.28,0.8023049294948578
127,64.88,0.8028193354606629
128,63.88,0.8065753757953644
129,64.92,0.8016103953123093
130,65.88,0.7935145258903503
131,64.72,0.7900093019008636
132,64.12,0.7890618979930878
133,64.6,0.7858144819736481
134,65.2,0.7858891248703003
135,65.16,0.7892043560743331
136,65.88,0.7885607272386551
137,66.0,0.7805951178073883
138,65.88,0.7772506713867188
139,65.28,0.7764290571212769
140,65.04,0.7741151243448258
141,65.44,0.7693845182657242
142,66.08,0.7639135599136353
143,66.36,0.7613328486680985
144,66.92,0.7610255092382431
145,67.16,0.7571184635162354
146,67.4,0.7501587212085724
147,67.44,0.7435714483261109
148,67.24,0.7403326839208603
149,66.96,0.7385333597660064
150,67.4,0.7377434730529785
151,67.48,0.7386573761701584
152,67.28,0.737337464094162
153,67.44,0.7318676173686981
154,68.0,0.7263390123844147
155,67.92,0.722820246219635
156,67.8,0.7199168503284454
157,68.24,0.7161880910396576
158,68.2,0.7132100284099578
159,68.2,0.712916299700737
160,68.36,0.7120267927646637
