round,test_acc,test_loss
1,29.12,1.5842622816562653
2,32.6,1.5596661031246186
3,33.64,1.5365297019481658
4,34.4,1.511389297246933
5,39.0,1.4769140899181366
6,42.84,1.4290882170200347
7,42.84,1.3711735010147095
8,43.16,1.3034990668296813
9,46.2,1.2296924591064453
10,51.28,1.1668895363807679
11,52.8,1.1056117117404938
12,56.92,1.0467264890670775
13,59.32,1.0007748931646347
14,61.24,0.9624291568994522
15,61.04,0.9431304901838302
16,61.64,0.9189978897571563
17,63.2,0.8912270218133926
18,63.68,0.8817820608615875
19,63.68,0.8626135498285293
20,63.48,0.8515968948602677
21,63.48,0.8458571761846543
22,64.2,0.8357203513383865
23,65.44,0.8531301230192184
24,63.8,0.8467616587877274
25,64.64,0.8633823484182358
26,64.32,0.8273442566394806
27,65.0,0.8086896240711212
28,65.64,0.7918844252824784
29,66.44,0.8026498645544052
30,65.72,0.7901435285806656
31,66.28,0.783010944724083
32,65.64,0.7937821716070175
33,66.12,0.7820076316595077
34,67.32,0.7639995485544204
35,68.56,0.7611953765153885
36,67.52,0.7514337301254272
37,67.68,0.7561530470848083
38,66.44,0.770724955201149
39,65.56,0.7884322673082351
40,63.8,0.8050399392843246
41,62.0,0.8769419550895691
42,50.12,1.1331325978040696
43,65.28,0.8174311310052872
44,67.44,0.760707888007164
45,61.32,0.8767052620649338
46,66.28,0.7658594191074372
47,62.0,0.8451321661472321
48,66.04,0.7642339259386063
49,62.92,0.839547261595726
50,66.52,0.7582606434822082
51,63.2,0.8363717675209046
52,67.68,0.7450367599725723
53,65.08,0.7868328839540482
54,66.84,0.7514963418245315
55,66.16,0.7629031538963318
56,66.72,0.7397064834833145
57,66.52,0.7483944356441498
58,68.24,0.7169393926858902
59,67.12,0.7446471661329269
60,68.28,0.7150276184082032
61,65.16,0.7582696110010148
62,67.28,0.7146535754203797
63,67.76,0.7265554547309876
64,69.36,0.7028919279575347
65,67.68,0.7289092421531678
66,67.24,0.7315680354833602
67,67.52,0.7328487038612366
68,68.8,0.7117023527622223
69,68.88,0.7089727282524109
70,69.36,0.6985366672277451
71,69.4,0.6946612954139709
72,70.12,0.6975740313529968
73,70.48,0.6876816779375077
74,71.16,0.6675761252641678
75,68.52,0.7265222877264023
76,70.4,0.674992960691452
77,67.56,0.7358801484107971
78,67.04,0.7710358232259751
79,72.0,0.6506852239370347
80,67.2,0.7541896611452102
81,68.36,0.7246832847595215
82,70.76,0.6732443898916245
83,68.84,0.7260239005088807
84,72.28,0.6437882959842682
85,69.8,0.7111777603626251
86,71.2,0.6737829476594925
87,69.96,0.6974877864122391
88,71.2,0.6835938930511475
89,71.12,0.6758153975009918
90,69.32,0.7112661480903626
91,72.4,0.6565866619348526
92,69.28,0.7450011938810348
93,70.84,0.6752391338348389
94,69.72,0.7022778630256653
95,68.44,0.7650377362966537
96,72.0,0.6626881659030914
97,67.72,0.7322292119264603
98,72.44,0.6481393724679947
99,71.72,0.6898154228925705
100,70.4,0.6754242599010467
101,71.0,0.6701700419187546
102,72.76,0.6843748271465302
103,72.68,0.6530933231115341
104,69.6,0.708051261305809
105,71.44,0.6785457968711853
106,70.96,0.6994367808103561
107,70.72,0.6828932762145996
108,71.84,0.6471465468406677
109,70.8,0.7166587531566619
110,73.0,0.6351276993751526
111,71.2,0.6716041713953018
112,72.88,0.677357304096222
113,72.56,0.6766812473535537
114,72.12,0.6621205031871795
115,73.24,0.6465186715126038
116,72.04,0.6908959567546844
117,72.68,0.6365424066781997
118,72.08,0.6590237975120544
119,73.04,0.6797924429178238
120,73.84,0.6457437530159951
121,71.92,0.6665987193584442
122,72.52,0.6889565497636795
123,72.56,0.6678067848086358
124,72.0,0.6581483125686646
125,72.04,0.7220537632703781
126,70.72,0.7258738800883293
127,72.52,0.655798214673996
128,70.2,0.7201668530702591
129,71.56,0.7035725086927413
130,70.68,0.7205554559826851
131,71.44,0.7226632505655288
132,72.72,0.6506981998682022
133,70.96,0.7189337596297264
134,73.48,0.6677815392613411
135,72.44,0.6620875567197799
136,73.76,0.6399501487612724
137,71.84,0.716666279733181
138,72.92,0.6589108303189277
139,73.28,0.669288444519043
140,74.36,0.6750603631138802
141,72.28,0.6787015989422798
142,71.76,0.6923411563038826
143,73.76,0.6907392039895057
144,73.92,0.6525709971785545
145,71.76,0.7072973415255547
146,73.64,0.6791796132922172
147,73.76,0.6614570066332817
148,73.88,0.6588369384407997
149,73.84,0.6629899621009827
150,74.48,0.6662727653980255
151,73.52,0.6500600129365921
152,73.96,0.6492909327149391
153,74.2,0.6838125959038734
154,74.24,0.6508026972413063
155,73.24,0.6677788645029068
156,72.56,0.7586820036172867
157,73.6,0.6616458714008331
158,74.36,0.6601295351982117
159,73.48,0.7226777866482734
160,73.92,0.6711619898676873
