round,test_acc,test_loss
1,30.04,1.5833371758461
2,28.8,1.5621447205543517
3,27.16,1.5387087762355804
4,33.04,1.5099811136722565
5,42.2,1.4777415812015533
6,46.52,1.429899901151657
7,47.8,1.3683260262012482
8,48.48,1.3034920036792754
9,51.52,1.2305703520774842
10,53.36,1.17037273645401
11,56.48,1.109610480070114
12,59.04,1.0531510144472123
13,60.36,1.0043597787618637
14,60.0,0.9708356112241745
15,61.28,0.9341836988925933
16,60.6,0.9141831040382385
17,61.88,0.8865453720092773
18,62.92,0.8776900947093964
19,61.96,0.8738510847091675
20,63.52,0.8597794264554978
21,63.88,0.8426488548517227
22,62.92,0.8494215458631516
23,62.4,0.8718944787979126
24,63.04,0.8400013089179993
25,65.36,0.8174213528633117
26,65.68,0.808977621793747
27,64.72,0.8105141133069992
28,64.88,0.811109310388565
29,65.64,0.7949859976768494
30,66.36,0.7798969477415085
31,66.76,0.7790864825248718
32,65.48,0.7875673949718476
33,66.96,0.7767668843269349
34,67.76,0.7564537316560745
35,66.24,0.7693178325891494
36,66.52,0.7814619600772857
37,66.44,0.7638490557670593
38,68.4,0.7384928375482559
39,68.2,0.7362041413784027
40,66.36,0.7605110168457031
41,66.48,0.7747132629156113
42,65.24,0.7738786548376083
43,67.32,0.7526484191417694
44,68.2,0.7065488219261169
45,68.28,0.7037359923124313
46,68.24,0.7253495335578919
47,67.32,0.7176792651414872
48,69.24,0.6958815276622772
49,69.56,0.6837894737720489
50,69.24,0.6891105115413666
51,69.32,0.7057576268911362
52,68.0,0.7117292374372483
53,70.4,0.6833160698413849
54,70.96,0.6659606397151947
55,69.96,0.6761283099651336
56,69.84,0.69298135638237
57,67.8,0.7209425300359726
58,68.68,0.7405530273914337
59,64.24,0.8099317640066147
60,60.56,0.9019884467124939
61,51.36,1.204490739107132
62,67.96,0.7384086012840271
63,62.36,0.8272215068340302
64,66.04,0.7847462654113769
65,64.12,0.8125437766313552
66,68.72,0.7079919695854187
67,64.16,0.8119960904121399
68,67.44,0.7138589233160019
69,66.16,0.7531117558479309
70,66.72,0.7528075307607651
71,69.96,0.6899999976158142
72,68.48,0.7234850585460663
73,68.88,0.7010067015886307
74,68.2,0.6995192170143127
75,68.4,0.7030120998620987
76,69.4,0.6816646665334701
77,69.76,0.678669536113739
78,69.08,0.6922617375850677
79,69.12,0.6839584082365036
80,70.2,0.6705782920122146
81,70.44,0.6719471901655197
82,71.2,0.6556830614805221
83,70.0,0.6762192666530609
84,71.52,0.6551064401865005
85,71.84,0.6556587368249893
86,71.96,0.6512318938970566
87,71.88,0.6511576324701309
88,71.88,0.6580872744321823
89,72.6,0.6371328055858612
90,72.52,0.6373781472444534
91,73.04,0.6308185830712318
92,73.2,0.6357693389058113
93,73.48,0.633612935245037
94,72.8,0.6289901956915855
95,73.04,0.6355465948581696
96,73.2,0.6314918771386147
97,72.88,0.6346948802471161
98,73.52,0.6222978666424751
99,73.68,0.6244255289435386
100,73.76,0.6176840409636497
101,73.92,0.6284672021865845
102,73.52,0.6142584025859833
103,74.0,0.6119027554988861
104,74.32,0.6089139431715012
105,73.84,0.618695716559887
106,74.64,0.6014228910207748
107,74.6,0.6027797296643257
108,74.56,0.6046964004635811
109,74.72,0.6088681802153587
110,74.8,0.6189675003290176
111,72.2,0.6454853504896164
112,71.16,0.7243653774261475
113,64.56,0.863078647851944
114,53.16,1.5347887396812439
115,60.36,1.0084656715393066
116,71.72,0.6461412787437439
117,67.72,0.7985829770565033
118,71.36,0.6744077175855636
119,68.88,0.7220173805952073
120,68.24,0.7392093628644943
121,71.04,0.6677577197551727
122,68.76,0.7285930126905441
123,70.52,0.6893666625022888
124,72.16,0.6477856189012527
125,70.72,0.6837844610214233
126,70.64,0.6895638555288315
127,72.12,0.6415305748581887
128,70.4,0.6718444555997849
129,70.92,0.6745763212442398
130,71.72,0.6544349446892739
131,71.88,0.6748329073190689
132,72.56,0.6515884399414062
133,72.72,0.6600533306598664
134,72.68,0.6502349615097046
135,73.52,0.6361623957753182
136,72.52,0.6527627304196357
137,72.76,0.6560791447758675
138,72.68,0.6507265657186508
139,72.92,0.6601529970765114
140,73.6,0.6406560420989991
141,72.8,0.6493098556995391
142,73.12,0.6510734781622887
143,73.68,0.6492951184511184
144,73.28,0.6411590993404388
145,73.88,0.6413711741566658
146,73.48,0.6462449431419373
147,73.0,0.6545878380537034
148,73.4,0.6456274449825287
149,74.04,0.6401696801185608
150,74.24,0.6384985268115997
151,74.32,0.6312634736299515
152,74.08,0.6361349150538445
153,74.08,0.6320354014635086
154,74.0,0.6338236793875694
155,74.08,0.644944877922535
156,74.16,0.6371882990002632
157,74.28,0.6377457976341248
158,74.96,0.6257230833172798
159,75.36,0.6254910379648209
160,75.56,0.6208652883768082
